B,C,G,J,L,N,P,R,T,V,X,Z,AB
0b463316-2ed7-11ef-a183-99ad05e145f0,〜やすい,简单的，容易……的,[sound:やすい_ヤス＼イ_2_NHK-2016-local.mp3],わかりやすい説明,易懂的说明,[sound:hypertts-51f531cff8f727ddf6be79753868cc517c283f58cacf14a2a76d7164.mp3],,,,,,
0b479dbe-2ed7-11ef-a183-99ad05e145f0,〜か月,……个月,[sound:かげつ_カ↓ゲツ_1_Daijisen-mp3-local.mp3],1年は12か月です,一年十二个月,[sound:hypertts-06f304bb722c25b04c3aefcb9cffd98e8ae16aacd1ad9c339ddbc805.mp3],,,,,,
0b47a8ea-2ed7-11ef-a183-99ad05e145f0,キログラム,千克，公斤,[sound:キログラム_キログ＼ラム_3_NHK-2016-local.mp3],一度に50キログラム買った,一次就买了五十公斤,[sound:hypertts-1526d112964817325989734ebf36b6625c3868ef9eafcd263718d218.mp3],,,,,,
0b47b2f4-2ed7-11ef-a183-99ad05e145f0,キロメートル,……千米，……公里,[sound:キロメートル_キロメ＼ートル_3_NHK-2016-local.mp3],4キロメートル以内は無料配達いたします,四公里以内免费送货,[sound:hypertts-65b4949e0350a4bd197a3163674bd1cd81ff8e428a75f4442a9bf79e.mp3],,,,,,
0b47be0c-2ed7-11ef-a183-99ad05e145f0,グラム,克,[sound:グラム_グラム━_0_NHK-2016-local.mp3],この牛肉は100グラム600円です,这种牛肉一百克六百日元,[sound:hypertts-7396dedc18387f7d4baa4acd77755bcc6b950bc882cb57bdaea418a6.mp3],,,,,,
0b47c7b2-2ed7-11ef-a183-99ad05e145f0,〜さん,（表达敬意或亲近感）……先生，……女士,[sound:さん_サン━_0_NHK-2016-local.mp3],山田さん,山田先生/女士,[sound:hypertts-5f2da4cc66e78bffc5147c8ad2fdeb507be72173106f94743a5e257e.mp3],,,,,,
0b47d0b8-2ed7-11ef-a183-99ad05e145f0,〜すぎ,过分……，过度……,[sound:すぎ_スキ゚━_0_NHK-2016-local.mp3],食べすぎ,吃多了,[sound:hypertts-832b7ef04f2cff1780af30ab9e3dcebe69589023dcdb94aad1d6e7a3.mp3],,,,,,
0b47e1fc-2ed7-11ef-a183-99ad05e145f0,〜にくい,难……,[sound:にくい_ニク＼イ_2_NHK-2016-local.mp3],わかりにくい,难懂,[sound:hypertts-fbe5fb96111cc4c91761026337effaae16eea027248a8808f87a2041.mp3],,,,,,
0b47eada-2ed7-11ef-a183-99ad05e145f0,〜回,……回，次,[sound:回_カ＼イ_1_NHK-2016-local.mp3],3回の授業,三次课,[sound:hypertts-db9cafe65772b943e56fd0f5420f652ced225fe100f4e6834eb2221a.mp3],,,,,,
0b47f3a4-2ed7-11ef-a183-99ad05e145f0,〜階,……层，……楼,[sound:階_カ＼イ_1_NHK-2016-local.mp3],私の家は3階建てです,我家是三层楼房,[sound:hypertts-b1db6b4fb601661637b7049a6f60b1325fb8160abcd2db54e3da7d1c.mp3],,,,,,
0b47fc0a-2ed7-11ef-a183-99ad05e145f0,〜君,（用于同辈或下级男性姓名后）小……，……位,[sound:くん_クン━_0_NHK-2016-local.mp3],張君,小张,[sound:hypertts-a2dd1d46767efb66faef69df8fff84747ff0d4b3c1fbf834076cd0c1.mp3],,,,,,
0b48048e-2ed7-11ef-a183-99ad05e145f0,〜個,……个，用于数小而圆的物体,[sound:個_コ＼_1_NHK-2016-local.mp3],ナシ5個,五个梨子,[sound:hypertts-06877127965697bd23d40c30fe6d58d6a2b899b1f3d9e5b5930c240f.mp3],,,,,,
0b480cfe-2ed7-11ef-a183-99ad05e145f0,〜頃,大概……，……左右；……时候，时期,[sound:ゴロ_ゴ＼ロ_1_NHK-2016-local.mp3],6時頃に起きる,六点左右起床,[sound:hypertts-d60f32672c5b9c1bd600c8c62c8723cc2874aa8eb90260f16ab29659.mp3],食べ頃,食物好吃的季节,[sound:食べ頃_タベコ゚ロ━_0_NHK-2016-local.mp3],,,
0b481546-2ed7-11ef-a183-99ad05e145f0,〜冊,（用来数笔记本，书本等）……册，……本,[sound:さつ_サツ━_0_NHK-2016-local.mp3],ノート3冊,三个本子,[sound:hypertts-724da6240a48e07e1cf0330058e7916bb998bfd83e9a5bb09b142e81.mp3],,,,,,
0b481da2-2ed7-11ef-a183-99ad05e145f0,〜山,……山,[sound:さん_サ＼ン_1_NHK-2016-local.mp3],富士山,富士山,[sound:hypertts-c7b0f625b159f56d857484999420d92d4a3f948c609c8bf22720d489.mp3],,,,,,
0b4825c2-2ed7-11ef-a183-99ad05e145f0,〜時,……点（钟）；……时候,[sound:じ_ジ━_0_NHK-2016-local.mp3],午前10時,上午十点,[sound:hypertts-94df5ded2061755bfa1b58382cf07ed24ee542ead1b3cc9b0b8808c1.mp3],非常時,紧急时,[sound:非常時_ヒジョ＼ージ_2_NHK-2016-local.mp3],,,
f64e48fe-2ed6-11ef-a183-99ad05e145f0,〜 人[にん],……个人；……人,[sound:人_ニ＼ン_1_NHK-2016-local.mp3],彼には3人の息子がいます,他有三个儿子,[sound:hypertts-3ee8c2d1c65be8e3b0724591d6f0f2b199fde9f41351143aa7e61640.mp3],保証人,保证人,[sound:保証人_ホショーニン━_0_NHK-2016-local.mp3],,,
0b48318e-2ed7-11ef-a183-99ad05e145f0,台,（家具、汽车、机器等）……台，……辆；台子,[sound:だい_ダイ━_0_NHK-2016-local.mp3],バス2台,两辆公共汽车,[sound:hypertts-61ac05ae0eb16fb9cef1a5adff1b3922dde3c9af345e6a8d34396e96.mp3],台に載せる,放到台子上,[sound:hypertts-25c60250182bccb01733ce7f3b7b1536fcbfd326247f2fe9556aa8c0.mp3],,,
0b483a30-2ed7-11ef-a183-99ad05e145f0,〜達,……们（人的复数）,[sound:たち_タ＼チ_1_NHK-2016-local.mp3],子ども達,孩子们,[sound:hypertts-42364fa32d4455a2f0f2751b0eaaa3e17f876643a207f004d70db831.mp3],,,,,,
efd1229e-2ed6-11ef-a183-99ad05e145f0,〜 中[じゅう],（附在表示年月、时间、地点的词语后）整整……，整个……,[sound:じゅう_ジュ＼ー_1_NHK-2016-local.mp3],一日中,一整天,[sound:一日中_イチニチジュー━_0_NHK-2016-local.mp3],,,,,,
f28091d2-2ed6-11ef-a183-99ad05e145f0,中[ちゅう],正在……；中间，中,[sound:ちゅう_チュー━_0_NHK-2016-local.mp3],会議中,正在开会,[sound:hypertts-c6e60507e69e4250427740e5d0809487577e3b595493d877a0479321.mp3],大中小,大中小,[sound:hypertts-8d7729b5c685f67cd1c7d0a8fa9f3c426d6be0e502cf24064e3a3f96.mp3],,,
0b4849bc-2ed7-11ef-a183-99ad05e145f0,度[ど],（角度，经纬度，温度等）……度；……次,[sound:度_ド━_0_NHK-2016-local.mp3],何度も電話する,打好几次电话,[sound:hypertts-757c7f7a8603849884b23f17e3d3809a78958c0cef674e72784c9dae.mp3],温度は0度に下がった,温度降到零度,[sound:hypertts-6c27c50af3e4deacade6658db15c4a88f269f853cb704633cc6ec08f.mp3],,,
0b485308-2ed7-11ef-a183-99ad05e145f0,〜ら,……们，……等,[sound:ら_ラ＼_1_NHK-2016-local.mp3],彼ら,他们,[sound:hypertts-bd921dfbfd29c3cee35ea29fe49d3aabc19b0c7e6be4809329ce84a2.mp3],,,,,,
0b485b46-2ed7-11ef-a183-99ad05e145f0,日[にち],……号；……天；日本；星期日,[sound:googletts-0ce85f04-e3146a92-d4764740-eb7a10d0-ab854043.mp3],何日でできますか,几天可以做好呢？,[sound:hypertts-46d07b32e978328983509f39aa2dd0bd89ee67582e55f322c63d5b7f.mp3],土日サービス,星期六星期日服务,[sound:hypertts-6b628405a344ed6101939bd8c9932c78eb2e8cb058b4b814b4897006.mp3],対日貿易,对日贸易,[sound:hypertts-4a4950433d4622c1774a3b7af1760d32f5f1053ac5a786eeda009019.mp3]
0b486370-2ed7-11ef-a183-99ad05e145f0,〜杯,……杯,[sound:杯_ハ＼イ_1_NHK-2016-local.mp3],ビール1杯,一杯啤酒,[sound:hypertts-709c09efcd094e65baec7d69755b60903c6521bf8789ee1cb8f73af6.mp3],,,,,,
0b486b86-2ed7-11ef-a183-99ad05e145f0,〜番,（表达顺序或序号）……号,[sound:番_バ＼ン_1_NHK-2016-local.mp3],成績はクラスで2番です,成绩在班里第二,[sound:hypertts-eae94fc315c345ec1779caad3305b4fcb5b31a452891919ee48b1e6d.mp3],,,,,,
0b4873a6-2ed7-11ef-a183-99ad05e145f0,〜番目,第……号，第……个,[sound:googletts-9a7cd9d8-baa07b90-273f9eb5-94418059-dd1c2409.mp3],3番目のおば,三大娘,[sound:hypertts-c02dabf221aa8f78ab8065aba3403ca39421e484fe7030403fdc3990.mp3],,,,,,
0b487bb2-2ed7-11ef-a183-99ad05e145f0,〜匹,（猫、狗、鸟、鱼、虫等小动物）……只，……条,[sound:匹_ヒキ＼_2_NHK-2016-local.mp3],1匹の子イヌ,一只小狗,[sound:hypertts-a4507c0d5d2e8233ae57af6f0b67ec5a9722eec267ee1bd8aa0c9b10.mp3],,,,,,
0b488440-2ed7-11ef-a183-99ad05e145f0,〜分,……分钟,[sound:分_フ＼ン_1_NHK-2016-local.mp3],15分,十五分钟,[sound:hypertts-9656e24ac6c6ed05d8a13b5c5bbfbb71f0fc75c97ef6489548d9bd5e.mp3],,,,,,
0b488c88-2ed7-11ef-a183-99ad05e145f0,〜本,（细长物的）……支，把，瓶,[sound:本_ホ＼ン_1_NHK-2016-local.mp3],指三本,三根手指,[sound:hypertts-e4d5ca8451f59575222835f81a48e04ea78a92ade2cb5301084974e1.mp3],,,,,,
0b4894b2-2ed7-11ef-a183-99ad05e145f0,〜枚,……张，……枚,[sound:まい_マイ━_0_NHK-2016-local.mp3],紙5枚,五张纸,[sound:hypertts-22ba27387061896bd320baa878cf5e2aa59602a2ab47ca278f252d62.mp3],,,,,,
0b489d04-2ed7-11ef-a183-99ad05e145f0,〜末,……末，……尾,[sound:まつ_マ＼ツ_1_NHK-2016-local.mp3],20世紀末,二十世纪末,[sound:hypertts-9331b0fec08a445f30214a57151229e6056f83f1f9618535157b5dc2.mp3],,,,,,
0b48a51a-2ed7-11ef-a183-99ad05e145f0,〜様,（表达敬意）……先生，……女士,[sound:さま_サマ＼_2_NHK-2016-local.mp3],お父様,父亲；令尊,[sound:hypertts-cf74b2852b7167f078f9138f4357506cca630f300a4a086ae3480e45.mp3],,,,,,
0b48b5e6-2ed7-11ef-a183-99ad05e145f0,ああ(嘆),（悲伤、快乐或惊讶时）啊，哎呀；（答应时）啊,[sound:ああ_ア＼ー_1_NHK-2016-local.mp3],ああ、そうでしたか,啊！是吗！,[sound:hypertts-31fa20d0ea137035899c98f1b668a59fc1513aff13ad1aad5dcdd2b9.mp3],ああ、いいよ,啊，好的,[sound:hypertts-dff0f2016d9cb23474b054d816180f29671b20fcaa31979d135cdea6.mp3],,,
0b48be4c-2ed7-11ef-a183-99ad05e145f0,アイスクリーム,冰激凌,[sound:アイスクリーム_アイスクリ＼ーム_5_NHK-2016-local.mp3],バニラアイスクリーム,香草冰激凌,[sound:hypertts-7c1bfee3bef1545465213e8db96f0c66cdb1062b79384a30649dca49.mp3],,,,,,
0b48c680-2ed7-11ef-a183-99ad05e145f0,あさって,后天,[sound:あさって_アサ＼ッテ_2_NHK-2016-local.mp3],あさっては日曜日だ,后天是星期日,[sound:hypertts-6bc9415097b387c9306a72eb9cdb80cd80b1aa4fb4f4b98627119a50.mp3],,,,,,
0b48cf04-2ed7-11ef-a183-99ad05e145f0,あそこ,（指代远处）那里；（指代自己和对方都知道的地方）那里,[sound:あそこ_アソコ━_0_NHK-2016-local.mp3],その本はあそこにあります,那本书在那里,[sound:hypertts-df1f8ed5875698ddaed6b4aa6ba2844030344d4027894b29733b9199.mp3],あそこで会おう,在那里见面吧,[sound:hypertts-c732a520624fb4b99156d175f978a1f97e7b8ec4bcbdce7db93ac73f.mp3],,,
0b48d72e-2ed7-11ef-a183-99ad05e145f0,あたし,（女性用语）我,[sound:あたし_アタシ━_0_NHK-2016-local.mp3],あたし、これ好き！,我喜欢这个！,[sound:hypertts-d634d1d1af9b35fdf1622947c22cb820cd88d95b19a74a7c42823905.mp3],,,,,,
0b48df3a-2ed7-11ef-a183-99ad05e145f0,あちら,（远处）那边；那个人，那位,[sound:あちら_アチラ━_0_NHK-2016-local.mp3],あちらから誰か来る,有人从那边走来,[sound:hypertts-43fb1a82c1eceed75bf6282921f85e39e939c0dbe695645827dc9058.mp3],あちらはどなたですか,那位是谁？,[sound:hypertts-0774832dfe1c5def2c30830e1bbf784490b04f35e7ed694ebb674a76.mp3],,,
0b48e796-2ed7-11ef-a183-99ad05e145f0,あっち,那边；那个人,[sound:あっち_アッチ＼_3_NHK-2016-local.mp3],あっちへ行け,那边去！；躲开！；滚开！,[sound:hypertts-fd260278199302cbf403949255213d48a56e99ea0e018ec43bcbccab.mp3],あっちが兄でこっちは弟です,那是哥哥，这是弟弟,[sound:hypertts-e9cf533de9b18135a57977f3b8bc810a5513263ffab9c64f6b89946d.mp3],,,
0b48efca-2ed7-11ef-a183-99ad05e145f0,あなた,你,[sound:あなた_アナ＼タ_2_NHK-2016-local.mp3],あなた、何してるの,你在做什么呢？,[sound:hypertts-4602e3e63154e81423a7a633fbc0a3939cf6546e8afecd229ec04998.mp3],,,,,,
0b48fc04-2ed7-11ef-a183-99ad05e145f0,あの,（指代远处事物）那个；（指代自己和对方都知道的事物）那个,[sound:あの_アノ━_0_NHK-2016-local.mp3],あの黒いカバンは誰のですか？,那个黑色的包是谁的？,[sound:hypertts-845b2cc0b65338c9d7435816a676a872acda3b313cf56233e8954d41.mp3],あの話はなかったことにしよう,那件事就当作没发生过吧,[sound:hypertts-cafafd6d3d33fd96f804b002509bdf1c0d8c684060520feb4ec4220a.mp3],,,
0b490438-2ed7-11ef-a183-99ad05e145f0,あのう,（带着顾虑和犹豫的心情呼唤对方）不好意思，那个……,[sound:googletts-e7ca0477-4a7a9175-72b9e953-95a2c43d-037d3373.mp3],あのう、質問ですが,那个，我有个问题,[sound:hypertts-8168cfa2670422e0ec26309176df4d400311c25b6f863952831e3686.mp3],,,,,,
0b490c94-2ed7-11ef-a183-99ad05e145f0,アパート,公寓,[sound:アパート_アパ＼ート_2_NHK-2016-local.mp3],アパートに住む,住在公寓里,[sound:hypertts-f9bb5b06f206287b784b7077c713a20bfa9a8765d57745639f3359c1.mp3],,,,,,
0b4914dc-2ed7-11ef-a183-99ad05e145f0,あまり,（后接否定）不太，不很；（后接肯定）太，过分,[sound:あまり_アマリ━_0_NHK-2016-local.mp3],あまり期待しないでください,不要太期待,[sound:hypertts-cbd2c5f8696877c063b658ac442fe0a31bf4ecd70cc823168bb74480.mp3],あまりのうれしさに涙が出る,喜极而泣,[sound:hypertts-24d2d510cd49cfae5cc5eda71dfc4afb700866dd2b9f9074ec841a79.mp3],,,
0b491d6a-2ed7-11ef-a183-99ad05e145f0,飴[あめ],糖果；麦芽糖,[sound:あめ_アメ━_0_NHK-2016-local.mp3],のどあめ,润喉糖,[sound:hypertts-c099b0e2c0af35574996dbc93591095081870c690fb9539ca51987c8.mp3],,,,,,
0b492e0e-2ed7-11ef-a183-99ad05e145f0,ある,（无生命物体）存在；有；发生；处于某种状态,[sound:ある_ア＼ル_1_NHK-2016-local.mp3],つくえの上に本がある,桌子上有书,[sound:hypertts-e715b0cf99f7c7f16cd9750d814061436e54d01dbb7217be48acd6ce.mp3],家にパソコンがある,我家里有电脑,[sound:hypertts-5aaffee81dd67b923d489ddc022ba76745e02ab16e047b4d7c548027.mp3],あした試験がある,明天有考试,[sound:hypertts-ab8d317d88ddc5646d434d3daf6e07cb98e001e740ab98917a8e2253.mp3]
0b493656-2ed7-11ef-a183-99ad05e145f0,アルバム,相册，纪念册,[sound:アルバム_アルバム━_0_NHK-2016-local.mp3],卒業アルバム,毕业纪念册,[sound:hypertts-764c0fcb22c154123d062bf5b6eeb1e280c34abb9b42013ae89393a6.mp3],,,,,,
0b493e76-2ed7-11ef-a183-99ad05e145f0,あれ(代),（表示离双方都有距离的）那个；（指之前发生过的，你和对方都熟悉的事情）那时,[sound:あれ_アレ━_0_NHK-2016-local.mp3],あれはあれ、これはこれ,那个和这个是两码事,[sound:hypertts-bae2443ee69862f365f235f3da09508dd940e737f541c1d6a5871dcf.mp3],あれから十年経った,从那以后已经过了十年了,[sound:hypertts-0c6284c041a57f33f1de10cb7a423293b8f8b06d29ab227089c4e762.mp3],,,
0b4946fa-2ed7-11ef-a183-99ad05e145f0,いい,好的；可以；合适，足够,[sound:いい_イ＼ー_1_NHK-2016-local.mp3],いい天気,晴朗的天气,[sound:hypertts-a81b070488a21c244796bab6a6dd0aa5228ef9bfca458e7824bfa7b9.mp3],いいところに気がついた,你想到点子上了,[sound:hypertts-294991a2f79bd514061f5b3a9beecd97f4c19cb528a000278f9f5d2b.mp3],,,
0b494f24-2ed7-11ef-a183-99ad05e145f0,いいえ,（表示否定）不是，不对,[sound:いいえ_イーエ＼_3_NHK-2016-local.mp3],お好きですか——いいえ、嫌いです,您喜欢吗？——不，不喜欢,[sound:hypertts-025909dec22f1a32ce75cd97e3e70bb9d09fcff6c1b0355e92045ad2.mp3],,,,,,
0b495744-2ed7-11ef-a183-99ad05e145f0,イーメール,电子邮件,[sound:イーメール_イーメ＼ール_3_NHK-2016-local.mp3],イーメールアドレス,电子信箱；邮件地址,[sound:hypertts-b99e451dc22cad999b77db1fc2ae818fc2e6c3646e8b2e9aa902e3d6.mp3],,,,,,
0b495f8c-2ed7-11ef-a183-99ad05e145f0,イエス,是,[sound:イエス_イエ＼ス_2_NHK-2016-local.mp3],イエスかノーか、どっちだ,到底是“对”还是“不对”？,[sound:hypertts-00ba54e0cd08537d76ac1b63310cfc0d63212cd155795df3978f8253.mp3],,,,,,
0b4967ac-2ed7-11ef-a183-99ad05e145f0,イギリス,英国,[sound:イギリス_イキ゚リス━_0_NHK-2016-local.mp3],イギリスの首都ロンドン,英国首都伦敦,[sound:hypertts-7e5ce18db426acdb087612d5ad797dd0bc0a276967d754b103002bca.mp3],,,,,,
0b497026-2ed7-11ef-a183-99ad05e145f0,いくつ,几个；几岁,[sound:いくつ_イ＼クツ_1_NHK-2016-local.mp3],いくつありますか,有几个？,[sound:hypertts-6f159a5a2457769771989e12a4d5a3e9f233026bee3808e72eda4abe.mp3],きみは今年いくつになりましたか,你今年多大岁数了？,[sound:hypertts-59b214addd0a985604ca2942d152d9c79ab62cbde238a797fca1e7e7.mp3],,,
0b497896-2ed7-11ef-a183-99ad05e145f0,いくら,（数量或价钱）多少；即使……也……,[sound:イクラ_イクラ━_0_NHK-2016-local.mp3],この花はいくらで買いましたか,这花多少钱买的？,[sound:hypertts-edffaa79b7c24342e6731cf9b9864e5f5380f54688c453ce35c29d70.mp3],いくら食べても太らない,怎么吃也不会胖,[sound:hypertts-f6ef9c54b11fa55bb3ec68d07704f3851cbdd80b8b11c3ed87246a11.mp3],,,
0b498214-2ed7-11ef-a183-99ad05e145f0,いつ,什么时候,[sound:いつ_イ＼ツ_1_NHK-2016-local.mp3],いつ卒業ですか,什么时候毕业？,[sound:hypertts-9320e4e7da5019bc820a48a58cf1b4f2ef26410f8705406ce5420dcb.mp3],,,,,,
0b4992e0-2ed7-11ef-a183-99ad05e145f0,いつも,经常，总是；平时,[sound:いつも_イ＼ツモ_1_NHK-2016-local.mp3],彼はいつもそう言っていた,他经常那么说,[sound:hypertts-35d9a4e31508b62ae8b4f4be2c2c3943c3080918841bb19716dfd860.mp3],いつもとは違って,不同往常,[sound:hypertts-5c698a390dc6f133190d14b6e34aee286ecee5fc15b2f21047929fc8.mp3],,,
0b49a384-2ed7-11ef-a183-99ad05e145f0,いる,（有生命的物体的）存在，有,[sound:いる_イル━_0_NHK-2016-local.mp3],彼はどこにいますか,他在哪儿？,[sound:hypertts-cdc22bdb32558fe17d299840ee434fa10b749eca416e79d890b13112.mp3],,,,,,
0b49ae42-2ed7-11ef-a183-99ad05e145f0,いろいろ,各种各样，形形色色,[sound:いろいろ_イロイロ━_0_NHK-2016-local.mp3],人生はいろいろだ,人生各自不同；形形色色的人生,[sound:hypertts-ffa684e35b838f6c27f49403fc85322005a3599d587c40afceaaa9c2.mp3],,,,,,
0b49b68a-2ed7-11ef-a183-99ad05e145f0,インターネット,互联网,[sound:インターネット_インターネ＼ット_5_NHK-2016-local.mp3],インターネットで調べる,上网查,[sound:hypertts-b8f0595218e11dd042ac960825c35f9ebd9b6c590c06e2b416dfc314.mp3],,,,,,
0b49bf90-2ed7-11ef-a183-99ad05e145f0,ウーロン茶,乌龙茶,[sound:ウーロン茶_ウーロ＼ンチャ_3_NHK-2016-local.mp3],このウーロン茶はおいしいですね,这乌龙茶，真好喝！,[sound:hypertts-1d5ea185a395be7c5a8367feff836a57ad07de35b6807819489a1ab5.mp3],,,,,,
0b49c7ba-2ed7-11ef-a183-99ad05e145f0,ううん,不，不是,[sound:googletts-9911bc03-83c537d4-97d9b94e-8573ef53-4096ebe9.mp3],ううん、まだ来ていないよ,不，还没来呢,[sound:hypertts-662cfe2904e092e7466186cabcbc514ad8dcf731b0c7d03d83000908.mp3],,,,,,
0b49d016-2ed7-11ef-a183-99ad05e145f0,うどん,乌冬面,[sound:うどん_ウドン━_0_NHK-2016-local.mp3],うどんを打つ,擀面条,[sound:hypertts-f3b09a3b43982e5c4168756e99bb3aaa10d863197be31847bc86ed9c.mp3],,,,,,
0b49d85e-2ed7-11ef-a183-99ad05e145f0,うるさい,吵的，令人烦躁的；爱唠叨的,[sound:うるさい_ウルサ＼イ_3_NHK-2016-local.mp3],騒音がうるさい,噪声令人心烦意乱,[sound:hypertts-38088d18e8bf7b676ab8fbc6155b55ed8c7bd2a0c31df2b12f289781.mp3],うるさく質問する,问得令人心烦,[sound:hypertts-1f5291e8f4f3cf3daec89b58ecbe9b8923308165c5951c5d8c11165f.mp3],うるさいおやじ,爱唠叨的老头子,[sound:hypertts-f6f7b041f759d928117c46dae09862933c79eec9634af089d8cef758.mp3]
0b49e92a-2ed7-11ef-a183-99ad05e145f0,エアコン,空调,[sound:エアコン_エアコン━_0_NHK-2016-local.mp3],クーラー,制冷装置，空调,[sound:hypertts-4101d0d80697b0edcbfde48b47d62f817bc589bf31afc226e80ff6d6.mp3],,,,,,
